,Exercise,Calories Burn,Actual Weight,Age,Duration,Heart Rate,BMI,Exercise Intensity,Gender_Male,Weather Conditions_Rainy,Weather Conditions_Sunny
1043,Exercise 4,237.662261,78.80257723,53,21,150,23.00361571,1,1,0,0
1044,Exercise 9,441.8384091,97.87553557,51,44,136,31.80289254,1,0,1,0
1045,Exercise 4,276.3963284,101.2813685,35,55,109,26.04612129,9,1,0,1
1046,Exercise 4,429.8562947,86.43027384,24,37,174,25.90149242,9,0,1,0
1047,Exercise 6,479.3447041,75.36369145,60,35,140,20.6186756,9,0,0,1
1048,Exercise 8,263.2309514,82.43411709,20,42,170,33.743434,9,1,0,0
1049,Exercise 2,379.6836634,98.51293432,55,35,103,18.54648749,2,0,0,0
1050,Exercise 7,248.4022094,89.758766,55,57,142,27.60750147,6,1,0,0
1051,Exercise 7,471.6523274,80.42854752,26,52,152,30.99099387,4,0,1,0
1052,Exercise 8,315.134657,63.92684765,19,41,138,34.15427585,10,1,0,1
1053,Exercise 4,199.070095,98.25978754,37,25,140,19.23943027,1,0,1,0
1054,Exercise 6,153.9771711,87.6179446,57,51,123,30.54193078,4,0,0,1
1055,Exercise 1,267.0537986,67.83233957,21,39,119,21.5543102,1,1,0,0
1056,Exercise 2,352.5816581,52.53138995,26,42,146,23.87784256,2,1,1,0
1057,Exercise 10,494.3412068,97.07802956,43,49,167,33.17303726,6,1,0,1
1058,Exercise 6,286.1961007,57.43759929,40,58,128,19.18537977,3,1,0,1
1059,Exercise 6,162.6347389,98.11700642,37,41,169,24.62655766,6,1,0,1
1060,Exercise 9,203.526118,57.84967869,28,30,132,22.5042808,3,1,1,0
1061,Exercise 1,272.7428795,60.31021044,47,44,140,24.73532339,5,1,0,1
1062,Exercise 1,149.1698761,73.80492609,24,45,124,23.94100361,5,1,0,1
1063,Exercise 6,476.314961,76.79031291,55,47,163,32.52169398,10,0,1,0
1064,Exercise 5,440.9644402,51.33896431,53,33,177,31.55112324,1,1,1,0
1065,Exercise 4,402.3269957,55.56740153,60,22,160,24.06832996,6,0,0,0
1066,Exercise 7,282.1231772,49.07873083,28,59,109,21.14083948,10,0,0,1
1067,Exercise 1,242.6442661,66.00708105,55,26,137,24.8773992,2,0,1,0
1068,Exercise 9,146.2761942,71.73504625,57,41,140,22.51583786,6,0,0,1
1069,Exercise 10,370.9991573,98.93665626,37,24,163,28.7671024,1,0,0,0
1070,Exercise 3,254.4726245,80.68537311,60,49,110,33.61195702,7,0,1,0
1071,Exercise 4,157.9053802,62.42981446,24,59,155,26.76375255,7,0,1,0
1072,Exercise 6,293.1101426,95.52843954,34,43,167,34.41298453,5,1,0,1
1073,Exercise 4,181.2059271,89.18733918,21,36,133,28.93701971,6,0,0,1
1074,Exercise 3,177.8843021,72.66345268,23,60,178,31.24828577,5,1,0,1
1075,Exercise 9,459.8923208,85.68941036,35,22,165,29.88885344,2,0,0,1
1076,Exercise 2,304.8212345,94.39710414,59,52,112,32.42006394,10,0,0,0
1077,Exercise 3,361.2723881,76.33797874,28,36,155,33.5171721,9,1,0,1
1078,Exercise 5,258.3796766,73.28364293,25,51,112,31.78845826,6,0,1,0
1079,Exercise 2,153.2378135,85.91298907,52,57,178,19.91961247,2,1,1,0
1080,Exercise 8,202.2759224,75.37599195,30,25,139,29.9220998,7,0,0,1
1081,Exercise 9,344.37167,58.04186277,20,60,138,22.53797019,9,1,0,1
1082,Exercise 6,270.3879667,65.11266809,20,42,101,28.4991202,5,0,0,1
1083,Exercise 4,325.6644081,51.90804199,44,30,131,29.36762564,9,0,0,1
1084,Exercise 6,469.7764769,86.77883901,18,27,124,32.53930968,10,1,0,1
1085,Exercise 6,291.2966335,56.9072493,46,51,174,32.38893212,10,0,0,1
1086,Exercise 4,467.2520049,93.98922837,55,45,134,33.25713309,7,1,0,0
1087,Exercise 4,162.3240957,77.44372053,43,28,156,21.29622537,8,1,0,0
1088,Exercise 7,460.0235184,62.65306402,32,39,169,24.03883859,6,1,0,1
1089,Exercise 2,470.6964459,56.44362689,33,59,118,30.13035339,9,0,1,0
1090,Exercise 6,282.8562195,76.23634834,26,45,148,22.59260236,9,0,1,0
1091,Exercise 9,228.2634666,77.65963174,31,23,164,33.80469635,1,0,1,0
1092,Exercise 7,291.0981977,62.17004347,38,37,175,28.33178513,3,0,0,1
1093,Exercise 8,252.7797757,53.71646991,18,26,147,31.56152948,7,1,1,0
1094,Exercise 2,239.7739655,55.44037749,59,50,121,27.18613038,4,0,0,1
1095,Exercise 3,472.4770131,65.52526328,34,20,167,26.4347387,3,0,0,0
1096,Exercise 2,402.7701226,60.17674963,27,52,165,24.29551636,9,1,0,1
1097,Exercise 6,359.7106274,60.91245999,36,46,127,27.58316293,9,0,1,0
1098,Exercise 2,244.9505762,95.43071171,47,31,104,22.90966056,8,0,0,1
1099,Exercise 5,390.0232911,103.0173396,31,53,122,30.61297973,8,1,0,1
1100,Exercise 8,302.8808717,54.44830127,51,20,166,22.74287098,8,0,1,0
1101,Exercise 3,233.0826471,64.40383754,34,47,101,19.26642562,10,0,1,0
1102,Exercise 5,261.2529234,92.78231333,48,36,150,28.33976282,8,0,1,0
1103,Exercise 7,206.1528231,90.03341344,19,51,177,32.87722817,5,1,0,1
1104,Exercise 2,288.4002749,74.42665273,38,25,165,19.80868712,10,1,0,1
1105,Exercise 4,470.2955313,86.6075346,57,32,130,29.19337847,10,1,0,1
1106,Exercise 5,229.099368,72.42676386,50,44,105,23.17422293,6,0,1,0
1107,Exercise 5,424.8608163,78.21680949,38,56,147,34.72511272,10,1,1,0
1108,Exercise 10,214.1334901,71.7716695,31,20,148,21.16662178,9,0,0,1
1109,Exercise 8,392.2326512,67.19348408,20,46,147,28.81284933,5,0,1,0
1110,Exercise 7,199.6807832,91.1852405,52,33,167,34.11555586,5,0,0,1
1111,Exercise 2,187.9180752,88.45929477,58,59,134,30.55065637,6,1,1,0
1112,Exercise 1,206.6098795,88.16798851,35,54,150,34.03248033,1,0,0,1
1113,Exercise 3,177.6448542,88.67683328,50,42,112,22.89791528,2,1,0,0
1114,Exercise 9,379.7556381,87.3321756,20,30,156,30.13101219,5,1,0,0
1115,Exercise 8,225.8019498,75.1226164,31,50,172,21.38628962,9,0,1,0
1116,Exercise 3,432.2901133,86.66316475,30,58,110,24.21562427,3,0,1,0
1117,Exercise 6,120.0377092,76.75243837,44,43,124,23.27620794,3,1,0,0
1118,Exercise 10,329.7259511,76.0689405,53,54,129,24.7116454,5,1,0,1
1119,Exercise 9,365.703042,74.22228635,55,26,131,27.99617866,1,1,0,0
1120,Exercise 7,426.1015755,78.93531749,56,43,132,19.68555914,10,1,0,1
1121,Exercise 1,269.9155164,79.83172621,58,20,161,33.50701979,2,1,1,0
1122,Exercise 8,391.2564652,56.88159692,42,59,119,27.64536531,3,0,0,1
1123,Exercise 7,294.9099212,98.69415342,49,33,176,22.30788825,10,0,0,0
1124,Exercise 6,486.9604257,94.89654821,29,36,172,31.05204262,4,0,0,1
1125,Exercise 3,499.1198143,70.03788724,34,48,164,26.7474153,10,0,0,1
1126,Exercise 8,313.5284395,102.0587223,57,54,160,31.76067493,9,1,1,0
1127,Exercise 5,153.1342344,104.3096,53,33,140,19.63631604,4,0,0,0
1128,Exercise 8,345.4395621,54.00547999,22,23,164,26.50087674,10,0,0,1
1129,Exercise 8,402.9507206,89.07401281,39,54,161,28.66183235,10,0,1,0
1130,Exercise 9,220.1928779,67.08636583,40,29,114,25.12305399,2,0,0,1
1131,Exercise 9,307.6081566,50.85065956,42,59,124,31.86364728,9,1,0,0
1132,Exercise 3,121.3400111,53.52397647,53,56,128,31.8698435,2,1,1,0
1133,Exercise 4,293.0007588,64.48619313,35,49,119,29.27724378,7,1,0,1
1134,Exercise 4,302.5139055,52.38671041,18,20,115,34.68293348,7,1,0,0
1135,Exercise 1,462.5884207,73.10482128,48,49,157,21.26484653,2,0,0,0
1136,Exercise 4,195.6545515,80.92645939,47,43,128,27.47918063,4,0,0,0
1137,Exercise 1,368.5759237,101.3030225,41,32,157,29.69440845,1,0,0,1
1138,Exercise 2,497.3445312,69.90553513,23,52,124,31.66960077,2,0,0,0
1139,Exercise 6,390.2524286,82.79792302,31,38,161,24.10626989,2,1,0,1
1140,Exercise 9,454.999775,77.51848575,58,37,115,29.43241455,2,1,0,1
1141,Exercise 2,237.065207,84.62489573,46,37,147,24.42889051,8,1,0,1
1142,Exercise 10,220.6781549,84.35182671,27,35,163,26.27487407,5,0,0,1
1143,Exercise 7,194.0285692,52.18864389,19,55,119,24.60811482,1,0,0,0
1144,Exercise 8,382.4137967,92.46308955,40,51,177,21.96022715,9,0,0,1
1145,Exercise 3,139.7260242,87.60939677,35,57,146,29.39314541,9,0,0,0
1146,Exercise 8,491.5558116,69.86726674,44,51,133,23.66739728,6,0,0,0
1147,Exercise 9,295.7498208,71.69591841,37,26,153,33.63787443,7,0,1,0
1148,Exercise 5,229.2967447,74.47934497,45,24,104,32.47180251,5,1,1,0
1149,Exercise 9,377.2350325,87.14138793,51,44,161,34.14425415,7,0,0,1
1150,Exercise 1,136.799053,102.7384356,18,26,179,34.40778993,2,0,1,0
1151,Exercise 3,156.0292691,91.55980075,55,38,129,19.28032525,1,0,0,1
1152,Exercise 10,363.3329258,73.44254744,21,48,133,29.28626793,8,0,0,1
1153,Exercise 2,323.322721,64.81281141,38,53,159,24.7726135,4,1,0,1
1154,Exercise 4,118.9293663,74.91304816,29,42,111,32.68596386,5,0,1,0
1155,Exercise 9,103.4077729,81.54834995,42,55,112,24.77794054,1,1,0,1
1156,Exercise 1,347.7857184,83.03765604,35,24,131,27.98137138,6,1,1,0
1157,Exercise 10,374.0698299,91.2499124,38,33,105,22.64931249,9,0,0,1
1158,Exercise 2,303.5326009,101.2767277,52,48,104,20.89666064,9,1,1,0
1159,Exercise 1,122.9568864,83.21797903,26,48,157,23.65698655,3,1,1,0
1160,Exercise 7,351.5153421,51.7921222,48,53,169,27.22736783,1,1,0,1
1161,Exercise 6,476.5312529,88.18110499,26,21,121,31.10936953,5,1,1,0
1162,Exercise 9,119.318077,76.60383942,38,58,104,34.26200213,1,1,0,1
1163,Exercise 6,452.9872239,90.67678598,32,34,162,34.60376331,7,0,0,0
1164,Exercise 8,124.640034,96.9739515,35,45,124,24.56007134,2,1,1,0
1165,Exercise 5,234.4421739,93.35941335,29,39,108,21.2337362,2,0,1,0
1166,Exercise 6,169.8151835,85.28385671,31,38,115,24.69997271,10,0,0,0
1167,Exercise 3,414.4895656,74.79420467,54,45,106,31.07201514,5,0,0,1
1168,Exercise 7,403.5327113,58.11073368,51,44,106,28.98253196,1,0,1,0
1169,Exercise 5,497.0456839,91.16441469,49,58,148,30.91538369,9,0,1,0
1170,Exercise 10,274.0554667,75.20737945,57,48,140,20.74883764,2,0,1,0
1171,Exercise 7,251.5909139,65.30449447,25,40,168,32.80890589,6,1,0,1
1172,Exercise 4,286.6270999,72.52998971,58,26,176,31.22746989,10,0,0,1
1173,Exercise 10,319.9643785,48.35957466,35,54,153,26.61068905,9,0,0,0
1174,Exercise 7,154.9516565,74.18397299,47,31,102,24.27620992,9,1,0,0
1175,Exercise 6,495.1174753,71.63864558,26,60,165,29.71545406,5,1,0,0
1176,Exercise 9,250.4155555,55.77163057,45,36,133,28.83702822,8,1,0,1
1177,Exercise 9,240.3380666,95.75449629,30,33,174,25.36633923,10,0,0,1
1178,Exercise 3,450.0985289,61.85761406,35,43,116,19.89732796,6,0,0,1
1179,Exercise 5,384.4423529,82.20622367,21,51,102,30.90878227,7,1,0,1
1180,Exercise 8,493.3697935,80.13843993,23,32,146,22.15126223,5,0,0,1
1181,Exercise 8,217.4564324,82.83936966,43,40,105,26.14061947,6,1,0,1
1182,Exercise 3,244.4497077,68.04031299,29,59,137,27.95395925,8,0,0,0
1183,Exercise 2,224.546633,59.55528882,32,30,133,28.58020861,9,1,0,1
1184,Exercise 8,162.3551795,62.27841611,35,25,171,22.7185496,3,1,1,0
1185,Exercise 7,385.8101995,56.6819026,38,49,111,24.66422416,7,1,0,1
1186,Exercise 6,248.3805545,60.75182543,59,22,158,26.70217215,3,0,1,0
1187,Exercise 6,138.2748603,83.08374168,22,37,103,30.14888835,5,1,1,0
1188,Exercise 4,455.9957131,89.22807169,28,39,153,27.07059766,3,1,0,0
1189,Exercise 6,245.0932438,55.52387133,53,57,124,20.21565605,7,0,1,0
1190,Exercise 1,134.0670043,74.63375736,19,57,135,23.77451041,5,1,0,1
1191,Exercise 5,462.0272392,94.85221109,41,40,102,32.46145343,2,1,0,0
1192,Exercise 8,191.4835148,69.1567352,56,45,131,22.5236776,1,1,0,1
1193,Exercise 8,480.1571167,65.84613775,34,23,167,30.04807997,5,0,0,0
1194,Exercise 8,221.2327366,64.23689404,59,37,163,33.70082051,6,0,0,1
1195,Exercise 5,172.7737226,65.35287454,42,34,146,30.81184146,4,0,0,0
1196,Exercise 9,222.6653895,95.79807343,33,22,126,22.61444995,8,1,0,0
1197,Exercise 5,145.4345932,92.62514215,18,29,146,31.31838912,1,0,0,0
1198,Exercise 4,392.1928159,87.80697512,38,39,112,31.2420672,5,1,0,1
1199,Exercise 4,256.8632687,82.33282386,19,53,107,33.47645065,3,0,0,0
1200,Exercise 4,412.8450077,88.34170794,51,37,151,31.84215866,7,0,0,0
1201,Exercise 3,289.4695531,82.19012951,25,36,105,30.14084142,2,1,1,0
1202,Exercise 7,382.9806095,101.6290375,55,49,113,19.05994335,3,0,0,0
1203,Exercise 5,497.5055234,55.82187173,18,43,107,24.18601147,6,0,0,0
1204,Exercise 4,474.250257,66.94220391,40,36,131,25.61622153,1,0,1,0
1205,Exercise 9,485.7324642,56.39466222,34,26,154,27.70881427,6,0,0,0
1206,Exercise 4,490.0999329,47.88795808,58,48,100,19.51633541,6,1,0,0
1207,Exercise 5,412.8366881,99.3865628,42,47,163,32.3384424,3,1,0,1
1208,Exercise 3,140.2866781,75.51995913,38,56,163,21.53604656,4,0,0,0
1209,Exercise 6,258.3300069,66.84026211,57,43,162,28.63876411,6,0,1,0
1210,Exercise 10,143.7643935,56.01591952,29,27,112,34.20345767,1,0,0,1
1211,Exercise 10,437.5092959,78.23496167,50,58,109,33.56691636,4,0,0,1
1212,Exercise 9,142.5532078,77.2897451,43,31,172,33.32525834,3,1,0,0
1213,Exercise 6,398.7192628,67.00738333,36,25,153,24.32372308,6,1,1,0
1214,Exercise 1,437.9381057,82.90186429,59,40,138,30.49139951,5,0,0,0
1215,Exercise 6,455.6836518,55.98126821,21,40,110,20.91598906,1,1,0,1
1216,Exercise 4,212.6397435,80.72061322,29,30,154,31.35208311,9,0,0,0
1217,Exercise 3,399.1868185,80.16992699,38,20,116,30.73098294,1,0,0,0
1218,Exercise 5,264.3640517,82.54638124,39,60,117,23.4026294,3,1,0,0
1219,Exercise 10,210.7590049,89.85731333,45,36,145,22.44829906,5,1,0,0
1220,Exercise 3,309.2233373,56.44213665,49,20,102,25.64562303,1,0,1,0
1221,Exercise 2,345.5126398,61.82961916,45,25,174,34.11349217,6,0,0,0
1222,Exercise 3,261.1235162,95.76123369,31,44,106,22.60932692,5,0,0,0
1223,Exercise 7,434.6607157,45.78374687,48,26,168,30.39500616,6,0,0,0
1224,Exercise 9,233.2246017,60.84532445,48,46,106,34.62519689,9,0,0,1
1225,Exercise 9,112.7552538,79.64332816,58,36,172,23.4838057,8,0,0,0
1226,Exercise 7,212.8740495,98.57019426,38,40,170,29.99104448,3,0,0,0
1227,Exercise 3,323.8020372,82.25134384,55,39,114,26.70361877,9,1,0,0
1228,Exercise 7,191.7006553,74.03545134,28,26,158,28.96131065,6,0,0,1
1229,Exercise 10,470.8043757,76.82494793,28,36,180,25.01400645,8,1,1,0
1230,Exercise 10,499.469389,79.92585071,57,31,120,18.67335456,10,1,0,0
1231,Exercise 4,290.6342623,71.60605765,23,25,140,31.82561441,1,1,0,1
1232,Exercise 2,476.784066,61.37371128,50,30,152,23.12931737,6,1,0,0
1233,Exercise 3,308.5687862,72.65788475,52,26,146,28.66009316,7,1,0,1
1234,Exercise 7,448.4968511,93.65433294,56,51,162,18.97818891,5,1,1,0
1235,Exercise 4,229.7027804,65.74554003,47,26,104,24.70915434,5,1,0,0
1236,Exercise 8,286.938181,79.5230775,34,26,124,23.47668933,6,0,1,0
1237,Exercise 5,389.4549058,63.29433259,33,33,158,21.58779074,7,1,0,0
1238,Exercise 10,483.2205114,91.12647011,19,41,111,33.46536016,1,1,1,0
1239,Exercise 8,348.8497375,87.95877945,21,56,142,33.05028276,7,0,0,0
1240,Exercise 2,111.2424286,79.07745031,26,24,175,31.8879553,3,1,0,0
1241,Exercise 5,395.7273903,72.52564026,57,32,129,21.31459159,8,0,1,0
1242,Exercise 10,278.9326736,54.92261798,28,25,102,30.35581754,3,1,0,1
1243,Exercise 5,240.6765304,89.62485354,37,56,122,29.05552582,5,0,0,0
1244,Exercise 8,302.9070343,92.59310327,52,22,180,19.5664943,2,0,0,1
1245,Exercise 6,228.4028087,81.49643023,55,21,119,31.13591982,4,1,0,1
1246,Exercise 10,285.8977732,92.51044358,58,49,118,32.55362597,5,0,1,0
1247,Exercise 2,166.8134957,71.46782177,59,26,146,19.61971863,8,0,0,1
1248,Exercise 4,208.2767999,98.07845136,59,34,118,20.62935058,5,1,1,0
1249,Exercise 3,323.152078,54.80627568,39,35,161,20.30104041,7,0,0,1
1250,Exercise 5,158.6397819,70.49080284,59,37,136,32.67097898,5,0,0,1
1251,Exercise 2,251.8977961,48.40647145,41,42,131,31.42622872,6,1,1,0
1252,Exercise 7,398.7515546,55.70837435,53,60,146,22.13170062,8,1,0,1
1253,Exercise 2,284.9602423,83.16296616,48,58,108,23.03104209,10,1,0,0
1254,Exercise 5,487.2492538,60.07283926,40,30,166,26.49810038,3,1,0,0
1255,Exercise 9,425.5654514,94.99243466,34,40,137,28.86117353,8,0,1,0
1256,Exercise 1,416.3543749,84.94839046,38,43,165,33.23599092,1,0,0,0
1257,Exercise 4,277.2572948,77.79422032,39,21,139,26.70784503,1,1,0,0
1258,Exercise 10,155.1713756,69.37280184,23,47,118,33.69907694,1,1,0,0
1259,Exercise 10,315.9504184,97.73359494,54,36,138,25.59945164,8,1,0,1
1260,Exercise 2,483.846052,67.2122243,35,57,122,28.59726704,9,1,0,0
1261,Exercise 5,474.2958554,81.26383506,29,55,135,20.06731412,1,0,1,0
1262,Exercise 4,334.6002455,68.9128576,45,25,116,28.14644281,6,0,0,1
1263,Exercise 1,337.8037502,74.25932035,44,28,122,31.34459331,1,1,0,1
1264,Exercise 7,497.3844806,77.53389916,22,34,146,33.3685788,2,0,1,0
1265,Exercise 8,351.5794091,89.29682513,45,53,167,29.88993806,8,0,0,0
1266,Exercise 2,292.7667682,81.67738694,33,49,141,28.58178162,4,0,0,0
1267,Exercise 9,386.9984545,79.67324235,26,43,133,21.96170483,8,1,0,0
1268,Exercise 3,420.328058,67.98179581,18,58,136,29.31403021,5,0,0,0
1269,Exercise 10,115.3049248,63.25205801,44,43,105,22.38866543,9,1,0,0
1270,Exercise 5,440.2505199,75.47812012,20,32,101,25.42946677,1,1,1,0
1271,Exercise 2,243.2626189,97.53567869,47,53,174,33.7631261,6,0,1,0
1272,Exercise 2,242.9459727,99.62788051,58,27,148,32.51245764,10,1,1,0
1273,Exercise 6,110.0936135,71.99849626,39,60,101,33.12608185,10,0,0,1
1274,Exercise 1,126.682745,103.2232257,48,32,119,28.97915336,3,1,0,0
1275,Exercise 3,482.5556173,76.58395617,45,20,159,24.86170862,10,0,1,0
1276,Exercise 8,180.5731018,71.97264486,24,22,172,30.49611579,8,0,0,0
1277,Exercise 4,132.5519191,88.79829324,40,20,159,28.43588968,8,0,0,0
1278,Exercise 6,272.0461926,81.62987503,50,21,115,23.52154071,1,1,0,1
1279,Exercise 4,131.5236592,85.79211124,45,53,140,19.09023267,10,0,1,0
1280,Exercise 10,220.1836261,81.12946281,45,36,120,26.90819343,4,0,0,0
1281,Exercise 1,317.0952789,76.54658241,54,41,175,33.39229542,2,1,0,0
1282,Exercise 10,439.2054302,72.61096313,30,53,162,33.35670116,1,0,0,1
1283,Exercise 6,199.8216427,84.73238092,59,50,133,34.42803368,7,0,0,0
1284,Exercise 10,128.3047852,88.88758013,56,21,156,20.86673206,9,1,0,1
1285,Exercise 6,461.5560362,88.76126384,38,38,167,34.94897799,8,1,1,0
1286,Exercise 6,184.8659399,68.32150423,18,36,157,19.94267693,10,1,1,0
1287,Exercise 5,404.8550843,60.754209,41,29,111,22.35631591,9,0,1,0
1288,Exercise 6,205.4542319,96.35665417,49,37,124,24.35687135,8,1,0,0
1289,Exercise 9,462.5433564,54.92699744,41,60,137,23.61076172,10,0,0,0
1290,Exercise 5,437.7408099,77.57788727,58,56,139,31.4554184,10,1,0,0
1291,Exercise 1,303.7871757,98.5156873,43,40,125,34.36650996,6,1,1,0
1292,Exercise 10,192.5014018,59.27714554,54,35,160,34.51249722,4,1,0,1
1293,Exercise 9,277.3884062,98.64369544,54,30,133,20.25389429,5,0,0,1
1294,Exercise 5,137.5834754,55.90869613,60,29,112,28.78864438,5,1,0,1
1295,Exercise 6,266.9175378,67.50683125,30,32,168,31.9450006,1,1,0,1
1296,Exercise 2,140.7493927,64.89148601,59,29,161,25.30110663,5,1,1,0
1297,Exercise 2,355.5510692,76.99854278,41,49,104,24.49329931,7,0,1,0
1298,Exercise 3,176.2181587,78.14510997,29,45,154,29.92908021,3,1,0,1
1299,Exercise 8,251.0869999,98.07841483,28,23,107,21.35596091,2,0,0,0
1300,Exercise 2,220.9869606,95.25152339,18,30,109,23.75118802,7,1,0,0
1301,Exercise 6,431.2226394,72.45880991,36,45,128,21.22145692,9,0,0,1
1302,Exercise 7,405.9524374,54.31588742,19,53,119,24.98497098,1,1,0,1
1303,Exercise 8,369.9529459,85.13937041,55,23,113,26.58687248,7,0,0,1
1304,Exercise 5,320.8127288,55.14288747,24,59,117,26.17770816,9,1,1,0
1305,Exercise 10,232.3517873,58.26893974,60,31,145,26.04766444,6,0,0,0
1306,Exercise 3,368.0611095,98.60150545,40,58,110,31.91886536,3,1,0,0
1307,Exercise 8,453.0992153,82.00620015,26,51,166,23.97179185,2,1,0,1
1308,Exercise 3,436.7807271,64.76654236,56,29,171,20.29779585,8,0,0,0
1309,Exercise 6,351.3665316,62.51914567,34,50,128,26.70372809,3,0,0,0
1310,Exercise 1,477.4161297,81.06216572,49,56,148,18.8088378,5,1,1,0
1311,Exercise 8,154.6609467,67.39307333,44,42,167,27.68311931,10,1,0,1
1312,Exercise 3,173.8278392,56.06812817,19,47,161,21.18429504,10,1,0,1
1313,Exercise 7,398.7470963,67.45071514,22,40,109,22.12621788,10,0,0,1
1314,Exercise 7,264.3753305,51.08732545,57,58,119,22.7170379,4,0,0,0
1315,Exercise 8,431.8683719,71.4474671,43,29,137,19.5984024,4,0,1,0
1316,Exercise 10,375.2590785,92.31997301,39,53,124,20.68358754,8,1,0,1
1317,Exercise 1,488.7017015,82.71091065,45,52,118,25.3750906,5,1,1,0
1318,Exercise 7,390.3160752,71.40149053,31,20,142,18.87564395,6,1,1,0
1319,Exercise 2,231.5202935,68.67881283,21,54,126,25.66938588,8,0,1,0
1320,Exercise 8,134.9360022,61.67800339,36,21,121,34.15228725,10,1,0,0
1321,Exercise 10,412.1433699,88.14296414,27,48,107,32.70560382,5,1,0,0
1322,Exercise 7,422.4184157,101.5937144,56,60,121,20.7489393,6,0,1,0
1323,Exercise 7,373.1221957,73.43541192,45,25,157,28.2562298,2,0,1,0
1324,Exercise 3,430.9450318,74.96593585,30,51,140,30.22946019,9,0,1,0
1325,Exercise 6,229.6350943,73.97936504,42,40,116,30.91565168,5,1,0,0
1326,Exercise 5,125.2213256,89.769218,35,30,129,27.36300774,3,0,1,0
1327,Exercise 2,450.5810451,91.8794149,40,52,137,18.87992643,5,1,0,1
1328,Exercise 2,200.6749022,55.43165362,52,30,141,25.06323956,6,1,1,0
1329,Exercise 7,475.5633622,95.58893453,57,24,138,25.94275019,8,0,1,0
1330,Exercise 7,243.3980606,81.7056781,40,46,137,31.41064806,5,0,0,1
1331,Exercise 8,118.3621831,85.92508618,25,27,134,27.36781339,1,1,0,1
1332,Exercise 9,250.4691299,73.66768746,42,46,136,27.6055262,6,0,0,1
1333,Exercise 7,188.4527864,58.15182169,36,37,169,26.2701492,5,0,0,0
1334,Exercise 9,107.7136678,85.7180324,26,37,151,26.4892558,3,1,1,0
1335,Exercise 5,234.5231056,73.70813422,52,33,107,31.86812103,7,0,0,0
1336,Exercise 9,343.7092553,97.68732226,52,37,117,22.26054273,9,0,0,1
1337,Exercise 4,465.1517306,53.44516635,19,31,129,32.60462078,1,0,0,0
1338,Exercise 10,384.1218693,85.8037401,49,51,124,21.17965229,8,0,0,1
1339,Exercise 6,336.8089855,60.96576072,37,48,103,27.21626792,10,1,0,0
1340,Exercise 8,397.3097751,56.32849773,41,50,101,32.45414788,4,0,0,0
1341,Exercise 7,473.4983079,90.40656828,19,59,143,28.59827993,10,0,1,0
1342,Exercise 5,366.3149122,88.10417965,24,56,111,19.84536829,10,0,0,1
1343,Exercise 8,122.8322138,80.8435253,25,50,118,31.97932413,4,1,0,0
1344,Exercise 4,494.8277905,77.53206544,59,59,143,34.11156454,8,1,0,0
1345,Exercise 4,463.7516278,89.96844739,55,31,113,32.66603028,9,0,0,0
1346,Exercise 5,218.2907683,68.99042666,29,26,108,27.90304011,5,1,0,0
1347,Exercise 1,420.5033108,90.29944033,45,27,128,26.51384199,7,1,0,0
1348,Exercise 7,368.2263539,64.23948165,24,60,131,24.09836273,1,1,0,1
1349,Exercise 3,421.1660064,90.4497269,43,21,140,24.68742089,6,1,1,0
1350,Exercise 10,438.2204109,79.07518087,41,24,131,20.30588947,4,1,1,0
1351,Exercise 2,322.2203227,66.22672608,46,28,118,32.97956729,1,1,1,0
1352,Exercise 2,206.674512,61.95408414,32,32,175,25.88117661,8,0,0,1
1353,Exercise 1,420.0905699,73.72362522,35,33,128,31.2740023,3,0,0,1
1354,Exercise 2,341.755844,87.35927551,24,31,161,29.3195256,6,1,0,0
1355,Exercise 8,319.0932637,47.0127965,33,42,174,20.73221098,9,1,0,0
1356,Exercise 7,170.7203478,64.02654401,55,57,110,18.99567493,1,1,1,0
1357,Exercise 6,368.5446267,68.04767842,45,56,102,24.75670521,3,1,0,1
1358,Exercise 2,330.4566099,87.60988557,56,42,124,28.87377521,8,1,1,0
1359,Exercise 6,223.6181911,69.88139845,41,23,143,25.95699339,1,1,0,1
1360,Exercise 6,379.1055935,66.01824851,19,53,144,29.71744568,8,1,1,0
1361,Exercise 8,146.3020064,58.15179923,44,23,119,24.51638748,2,0,0,1
1362,Exercise 1,278.3607433,103.9162915,60,36,155,31.31291179,9,1,0,0
1363,Exercise 5,161.8083552,77.7583353,57,28,116,21.80546976,2,1,0,0
1364,Exercise 6,485.7356082,89.96956417,43,38,172,29.23794953,8,1,0,0
1365,Exercise 5,133.0726902,78.40779179,18,41,155,21.44162177,7,1,0,0
1366,Exercise 10,496.833931,70.01918238,59,20,114,18.65897245,6,1,0,0
1367,Exercise 4,442.3263305,57.52156711,32,28,135,27.16242988,2,0,0,1
1368,Exercise 10,253.0569035,56.62311,38,22,148,29.5912752,7,0,1,0
1369,Exercise 6,240.5285481,81.45839633,45,46,168,25.94770608,9,0,0,1
1370,Exercise 3,194.0230348,73.38031278,54,36,169,20.02741036,10,0,1,0
1371,Exercise 2,456.5112759,49.53234643,32,27,152,30.58861346,3,0,0,0
1372,Exercise 2,291.615166,56.72717532,33,51,112,32.84376346,2,1,1,0
1373,Exercise 10,229.4822614,91.77809629,25,53,145,22.55269901,2,0,0,0
1374,Exercise 1,252.9407761,68.75123384,26,59,168,32.9772517,8,0,1,0
